path,lines,limit,kind
crates/persistence-sqlite/src/repositories/graph_repo.rs,839,500,production
crates/persistence-sqlite/src/repositories/notebook_repo.rs,857,500,production
crates/persistence-sqlite/src/repositories/timeline_repo.rs,533,500,production
crates/runtime-cache/src/lib.rs,272,200,module-root
crates/search/src/highlighter/mod.rs,267,200,module-root
crates/search/src/indexer/tantivy_writer.rs,758,500,production
crates/timeline/src/lib.rs,585,200,module-root
crates/transport/src/commands/mod.rs,983,200,module-root
crates/transport/src/dto/analysis.rs,587,500,production
crates/transport/src/dto/notebook.rs,859,500,production
crates/updater/src/lib.rs,543,200,module-root
